cfop,codigo_barras,codigo_produto,created_at,descricao,id,ncm,nfe_id,numero_item,quantidade,valor_total,valor_unitario
5401,,113-0,2026-03-21T22:50:24.974125+00:00,CARCACA SUINA,507222,02031100,94987,1,249.0,2964.84,11.91
5401,7898906071520,97-0,2026-03-21T22:50:24.974125+00:00,PAPADA SUINA,507223,02064900,94987,2,17.94,179.52,10.01
5405,7896058258707,418,2026-03-21T22:50:44.559149+00:00,AYM BISC CREAM CRACKER 164G,507224,19053100,94988,1,5.0,11.45,2.29
5405,7896058259094,452,2026-03-21T22:50:44.559149+00:00,AYM BISC MAIZENA TRADICIONAL 170G,507225,19053100,94988,2,6.0,13.74,2.29
5405,7896058259087,439,2026-03-21T22:50:44.559149+00:00,AYM BISC MARIA 185G,507226,19053100,94988,3,6.0,15.36,2.56
5405,7896058255041,75,2026-03-21T22:50:44.559149+00:00,AYM BISC RECHEADO MORANGO 120G,507227,19053100,94988,4,10.0,22.5,2.25
5405,7896058200300,395,2026-03-21T22:50:44.559149+00:00,AYM BISC WAFER CHOCOLATE 105G,507228,19053200,94988,5,5.0,14.95,2.99
5405,7896058200324,398,2026-03-21T22:50:44.559149+00:00,AYM BISC WAFER LIMAO 105G,507229,19053200,94988,6,5.0,14.95,2.99
5405,7891055145067,227,2026-03-21T22:50:44.559149+00:00,CON PENTE JOY REF. A5,507230,96151100,94988,7,1.0,1.49,1.49
5102,7891055006771,171,2026-03-21T22:50:44.559149+00:00,CON VASSOURA VARRE MUITO V9,507231,96039000,94988,8,4.0,51.96,12.99
5405,7896301800028,490,2026-03-21T22:50:44.559149+00:00,SOF COQUETEL GUARDANAPO 40 FOLHAS,507232,48183000,94988,9,1.0,1.96,1.96
5405,7891095023134,94,2026-03-21T22:50:44.559149+00:00,YOK YOKITOS BATATA OND.NATURAL 45G,507233,20052000,94988,10,12.0,36.6,3.05
5405,7891095023141,50,2026-03-21T22:50:44.559149+00:00,YOK YOKITOS BATATA OND.SALSA CEBOLA 45G,507234,20052000,94988,11,12.0,36.6,3.05
5405,7891095023202,85,2026-03-21T22:50:44.559149+00:00,YOK YOKITOS CONCHINHA PRESUNTO 54G,507235,19041000,94988,12,12.0,25.8,2.15
5405,7891095023226,87,2026-03-21T22:50:44.559149+00:00,YOK YOKITOS REDINHA REQUEIJAO 45G,507236,19041000,94988,13,12.0,25.8,2.15
5405,7891095023271,83,2026-03-21T22:50:44.559149+00:00,YOK YOKITOS TUBINHO QUEIJO 45G,507237,19041000,94988,14,12.0,25.8,2.15
5401,,113-0,2026-03-21T22:51:12.48686+00:00,CARCACA SUINA,507238,02031100,94989,1,292.1,3419.61,11.71
5401,7898906071520,97-0,2026-03-21T22:51:12.48686+00:00,PAPADA SUINA,507239,02064900,94989,2,16.74,67.07,4.01
5101,1234567901503,000639,2026-03-21T22:51:33.821056+00:00,GOLA POLIESTER FIBRA PADRAO 41 TAM.40-8 MOD.504-A S / PRETO / 0,507240,62179000,94990,1,300.0,519.0,1.73
5101,1234567900414,000639,2026-03-21T22:51:33.821056+00:00,GOLA POLIESTER FIBRA PADRAO 41 TAM.40-8 MOD.504-A S / MARINHO / 0,507241,62179000,94990,2,100.0,173.0,1.73
5101,1234567900339,000639,2026-03-21T22:51:33.821056+00:00,GOLA POLIESTER FIBRA PADRAO 41 TAM.40-8 MOD.504-A S / ROYAL / 0,507242,62179000,94990,3,200.0,346.0,1.73
5101,1234567908809,000641,2026-03-21T22:51:33.821056+00:00,GOLA POLIESTER FIBRA PADRAO 41 TAM.40-8 MOD.504-B S / PRETO /BRANCO / 0,507243,62179000,94990,4,100.0,173.0,1.73
5101,1234567900377,000642,2026-03-21T22:51:33.821056+00:00,RIBANA POLIESTER FIBRA PADRAO 21 TAM.100-3 MOD.504-A S / PRETO / 0,507244,62179000,94990,5,200.0,326.0,1.63
5101,1234567901022,000642,2026-03-21T22:51:33.821056+00:00,RIBANA POLIESTER FIBRA PADRAO 21 TAM.100-3 MOD.504-A S / MARINHO / 0,507245,62179000,94990,6,100.0,163.0,1.63
5101,1234567901039,000642,2026-03-21T22:51:33.821056+00:00,RIBANA POLIESTER FIBRA PADRAO 21 TAM.100-3 MOD.504-A S / ROYAL / 0,507246,62179000,94990,7,100.0,163.0,1.63
5101,1234567901015,000642,2026-03-21T22:51:33.821056+00:00,RIBANA POLIESTER FIBRA PADRAO 21 TAM.100-3 MOD.504-A S / BANDEIRA / 0,507247,62179000,94990,8,100.0,163.0,1.63
6101,,085,2026-03-21T22:51:40.875118+00:00,PIQUET MIX / BRANCO - ALGODAO (CO) 40% POLIESTER (PES) 60%,507248,60062200,94991,1,41.65,1319.06,31.67
6101,,085,2026-03-21T22:51:40.875118+00:00,PIQUET MIX / PRETO - ALGODAO (CO) 40% POLIESTER (PES) 60%,507249,60062200,94991,2,66.16,2470.41,37.34
6101,,085,2026-03-21T22:51:40.875118+00:00,PIQUET MIX / MARINHO - ALGODAO (CO) 40% POLIESTER (PES) 60%,507250,60062200,94991,3,20.18,753.52,37.34
6102,,1857,2026-03-21T22:51:55.174639+00:00,DOPTEL PLUS UV 35 WINE,507251,54075210,94992,1,540.0,5610.6,10.39
6102,,1843,2026-03-21T22:51:55.174639+00:00,DOPTEL PLUS UV 35 STELLAR,507252,54075210,94992,2,300.0,3117.0,10.39
5401,,113-0,2026-03-21T22:52:17.676554+00:00,CARCACA SUINA,507253,02031100,94993,1,200.8,2411.0,12.01
5401,7898926890842,2085-0,2026-03-21T22:52:48.589421+00:00,MIUDOS SUINO CONGELADO,507254,02064900,94994,1,22.18,88.72,4.0
5403,7898319083271,92711,2026-03-21T22:53:28.536105+00:00,LONA AGRO PTA/BCA 08X50M 60KG LONAX - REF 11010015,507255,39202019,94995,1,1.0,896.14,896.14
5403,7896451824776,9044,2026-03-21T22:53:28.536105+00:00,DUCHA MAXI DUCHA ULTRA 4600W 127V LORENZETTI - REF 7530111,507256,85161000,94995,2,3.0,177.84,59.28
5401,,113-0,2026-03-21T22:54:31.383928+00:00,CARCACA SUINA,507257,02031100,94996,1,201.1,2334.16,11.61
6102,,1857,2026-03-21T22:54:33.947579+00:00,DOPTEL PLUS UV 35 WINE,507258,54075210,94997,1,55.0,571.45,10.39
5401,,113-0,2026-03-21T22:54:49.133921+00:00,CARCACA SUINA,507259,02031100,94998,1,312.1,3560.12,11.41
5401,7898926890842,2085-0,2026-03-21T22:55:17.819995+00:00,MIUDOS SUINO CONGELADO,507260,02064900,94999,1,23.23,92.92,4.0
5401,7898906071520,97-0,2026-03-21T22:55:20.499964+00:00,PAPADA SUINA,507261,02064900,95000,1,49.47,297.16,6.01
5401,,113-0,2026-03-21T22:55:20.499964+00:00,CARCACA SUINA,507262,02031100,95000,2,283.6,3291.74,11.61
5401,7898906071520,97-0,2026-03-21T22:55:25.489429+00:00,PAPADA SUINA,507263,02064900,95001,1,52.48,315.24,6.01
